,EPDL97 Energy [keV],S1 EPDL97 EA [cm^2],S2 EPDL97 EA [cm^2],S3 EPDL97 EA [cm^2],S4 EPDL97 EA [cm^2],S5 EPDL97 EA [cm^2],S6 EPDL97 EA [cm^2],S7 EPDL97 EA [cm^2],S8 EPDL97 EA [cm^2],S9 EPDL97 EA [cm^2],S10 EPDL97 EA [cm^2]
0,0.0005,4.709583682096718,4.263416943945138,3.8455091067527074,3.454849334531449,3.0903985286028464,2.851657147220337,2.531884732700294,2.315267876110438,2.1074200592343284,1.8273527904855484
1,0.0015000500000000002,,,,,,,,,,
2,0.0025001000000000003,,,,,,,,,,
3,0.00350015,,,,,,,,,,
4,0.0045002,,,,,,,,,,
5,0.00550025,,,,,,,,,,
6,0.0065003000000000005,4.824838033193538,4.36267603146725,3.930451133982278,3.527025867900228,3.151251350831769,2.905995509988771,2.5770847923090408,2.3551178896615004,2.1423405719247333,1.8554049591542507
7,0.00750035,4.921527419793443,4.445621410591174,4.001152676566285,3.5868684597878686,3.2015094798088435,2.950786689222115,2.6141982621825295,2.3877719550658605,2.1708959045605916,1.8782539029892422
8,0.008500400000000002,4.874324529527567,4.405122470975245,3.966628561946586,3.5576455523105293,3.1769641315384485,2.9289093496059357,2.596068393130171,2.3718212997389956,2.1569448551183017,1.8670908280080398
9,0.00950045,4.870073509000698,4.401481099084034,3.963529617475533,3.5550234044912097,3.1747658465052226,2.926953180528931,2.5944484238422225,2.3703956645360327,2.1556999719424645,1.8660946680471833
10,0.010500500000000001,4.854745744314681,4.3883150939997675,3.95229441669283,3.545501251561803,3.166759666399007,2.9198115157822557,2.588525328278758,2.3651820512471002,2.1511383328847145,1.8624408141449575
11,0.0115006,4.866801176788752,4.398673075983846,3.961131091465742,3.55299570742926,3.1730585985134425,2.925431382839623,2.5931890369162396,2.3692871060929823,2.1547300187966263,1.8653190320471271
12,0.0125006,4.869180142231179,4.400715686335757,3.962873993218188,3.554472716979781,3.1743040765722075,2.9265397787944343,2.5941064008665347,2.3700955308090936,2.1554382385539053,1.8658855504981484
13,0.013500700000000001,4.8708464218237655,4.402146872302949,3.964099725525398,3.555508447133726,3.175172334122313,2.927315655962802,2.594750676704458,2.370661912197028,2.1559353120481437,1.8662828738413146
14,0.0145007,4.872266774609012,4.40336519200287,3.965138136616224,3.5563873589897153,3.175913767535886,2.9279747022062033,2.5952968529292004,2.3711435784201,2.1563554051339833,1.8666193629883978
15,0.0155008,4.873486370816838,4.404415936130682,3.9660299484942274,3.5571459219193655,3.176551140119484,2.9285438785073223,2.595768791608832,2.3715598929445645,2.1567183127735823,1.866910226488419
16,0.016500800000000003,4.874545361762729,4.405321750033968,3.966807738762258,3.5578023706084854,3.1771007113777907,2.9290351675251305,2.59617709810694,2.3719181170702663,2.1570328327279014,1.8671630686158882
17,0.0175009,4.875463823104425,4.406114337199344,3.967479651821028,3.558374939742885,3.1775819927164255,2.9294635475833415,2.5965323777871117,2.372230352963615,2.157305563317661,1.8673816915080612
18,0.0185009,4.8762668494141055,4.406802755765841,3.9680660486723176,3.558870923196887,3.178001487937263,2.929838005676183,2.5968425846720384,2.372503861924455,2.1575453023038205,1.8675736994394474
19,0.0195009,4.87696447852064,4.40740059294201,3.9685791459171966,3.559304908719139,3.178365700842176,2.9301645331331407,2.597113021443512,2.372741064386068,2.15775424912662,1.8677390924100479
20,0.020501000000000002,4.8811402153309755,4.410983086929507,3.971633296184332,3.5618942341040025,3.180537970667908,2.9320997325569462,2.59871708268608,2.374154597422622,2.1589903345414974,1.8687295491650215
21,0.021501000000000003,4.885235649510344,4.414497644874258,3.974630435646481,3.5644288554314394,3.1826712176823992,2.933998984003839,2.600291979178783,2.375539085259794,2.1602000266734946,1.869699094165092
22,0.0225011,4.888889419219387,4.417631760979629,3.9773017990801356,3.5666899564717425,3.1845703278294466,2.935691534583483,2.601694538513193,2.376773506233497,2.1612799518313324,1.8705621793220173
23,0.0235012,4.8921466946880265,4.420426196871267,3.979684036288501,3.5687067127222067,3.1862613163165427,2.937201349613821,2.6029459714164855,2.3778748033767023,2.1622411072162104,1.8713321121161908
24,0.0245012,4.89528853512465,4.42312552230306,3.981984829489743,3.5706541771665967,3.1878970224877152,2.938657242678789,2.6041523315245323,2.3789373735873993,2.163171470437728,1.872075429949578
25,0.0255012,4.898194486582804,4.425616510537097,3.9841105180756693,3.5724521171873542,3.189409156423292,2.940005291813019,2.6052685460420872,2.3799176490665164,2.1640292521313262,1.8727617157241379
26,0.026501300000000002,4.900849492319184,4.427894632503862,3.986052957645567,3.5740968858473168,3.1907879624204636,2.941233514357539,2.6062866609464606,2.380815629814053,2.164814452297005,1.8733909694398696
27,0.0275013,4.903519554798869,4.43018181260966,3.987999469415822,3.575745301444441,3.1921732722195078,2.942470723896288,2.6073100785326275,2.3817160309948715,2.165601851902923,1.8740202231556016
28,0.0285014,4.9061795794496845,4.432464463645942,3.989945981186076,3.5773937170415655,3.1935585820185524,2.9437019421055513,2.6083308447778983,2.382614011742408,2.1663870520686013,1.8746494768713335
29,0.0295015,4.908678998838564,4.43461124259673,3.991774399146001,3.5789400183981597,3.1948560904923053,2.944861264360989,2.609290630182542,2.383458742957746,2.16712606398924,1.8752388081458862
30,0.0305015,4.911253701943975,4.436821428520748,3.9936557557105568,3.5805337299378577,3.196195873678236,2.946050543263854,2.61027958033705,2.3843276785059015,2.167884870872038,1.8758471501067144
