,Windt Energy [keV],S1 Windt EA [cm^2],S2 Windt EA [cm^2],S3 Windt EA [cm^2],S4 Windt EA [cm^2],S5 Windt EA [cm^2],S6 Windt EA [cm^2],S7 Windt EA [cm^2],S8 Windt EA [cm^2],S9 Windt EA [cm^2],S10 Windt EA [cm^2]
0,0.0005,3.7031558270892337,3.383060940410715,3.0803345154256667,2.7944437185906015,2.524834421489626,2.342433084597383,2.1016489940347065,1.9327910089251321,1.7694672685980986,1.5515628636125938
1,0.0015000500000000002,4.487672380331091,4.071561030159587,3.680703086137724,3.314270847756333,2.971421229030914,2.745197213593092,2.44299587779398,2.2367417591499716,2.0384720065909576,1.7717579395403376
2,0.0025001000000000003,4.691063887829724,4.2474202704131025,3.831781719352023,3.443153607053622,3.080509497854268,2.8428139448997896,2.52450870232538,2.3087569105824763,2.101705913490821,1.8227522044067832
3,0.00350015,4.774071713678456,4.3189523943556205,3.8930316849093347,3.4952318697238343,3.124442679509414,2.8820571530295918,2.5571705708331316,2.337562487068822,2.1269554874459664,1.843046112006295
4,0.0045002,4.808315766871872,4.348436636907589,3.9182548939155173,3.516653978612127,3.142500485411044,2.8981798206749807,2.5705757504073823,2.3493790423504235,2.1373082526556244,1.8513594851147417
5,0.00550025,4.820060026650942,4.358550049137781,3.926912391872757,3.5240098508674365,3.1487018604973773,2.903718804784294,2.575183780886031,2.3534405293972336,2.1408691464041762,1.8542186923306352
6,0.0065003000000000005,4.8288732403996795,4.366131711508286,3.9333871904390842,3.5295021382330765,3.153326063629399,2.9078438351350373,2.578609313324704,2.356458809699601,2.143510674132411,1.8563383838503968
7,0.00750035,4.838630010062292,4.374505961044169,3.940529829863825,3.5355560539216304,3.1584152885953727,2.912379271555535,2.5823742173981685,2.359772382862344,2.1464095363687243,1.858659588644683
8,0.008500400000000002,4.846630159672478,4.381372030431079,3.9463897261763687,3.5405195353988126,3.162584225596253,2.916096891501267,2.5854550755202568,2.3624832681379266,2.1487805329474394,1.8605587562036443
9,0.00950045,4.852557497620804,4.386462704567547,3.950726619555701,3.5441920011207246,3.1656735314861413,2.918849907399838,2.5877378800324067,2.364492227761796,2.1505378856991957,1.8619655469880603
10,0.010500500000000001,4.856979161238479,4.390258064822317,3.9539640188388643,3.5469344978663826,3.167975877349342,2.9209019377486105,2.589437389547259,2.3659904759632115,2.1518487520822327,1.8630149368704894
11,0.0115006,4.860407079797926,4.393197430938481,3.956476566458628,3.5490606622317,3.1697611709636035,2.9224956313917443,2.5907577573138685,2.367152283938461,2.1528648934731107,1.8638285942430974
12,0.0125006,4.862279134882367,4.394805250616814,3.9578448257783045,3.550224035186308,3.1707399931455575,2.9233673698318796,2.591481573378697,2.3677888578915667,2.153423551294069,1.8642753453705807
13,0.013500700000000001,4.863237747539547,4.3956295412688045,3.958549316439924,3.55082213288084,3.17124403779075,2.92381671954329,2.5918580637860433,2.3681180368178874,2.1537116779655086,1.8645072757431465
14,0.0145007,4.864236511512212,4.396490064476927,3.9592863847043924,3.551442112198342,3.1717675938415626,2.9242840432431563,2.5922451595569767,2.3684617383438984,2.1540108018381483,1.864746810390223
15,0.0155008,4.86557656166649,4.3976404481341005,3.960267784990232,3.552273613871228,3.1724667525429586,2.9249071415096446,2.592762171031854,2.3689167798008715,2.154408900521587,1.8650661899196577
16,0.016500800000000003,4.867167557542544,4.399003698058546,3.961428362091744,3.5532582869049083,3.1732927353808864,2.925644075036357,2.5933719794381194,2.3694541159894245,2.1548795807329464,1.8654426015079204
17,0.0175009,4.868708364274243,4.400326186357344,3.962556361590406,3.5542137844412944,3.174095954912257,2.92636003890987,2.5939658797990037,2.3699745091450053,2.1553348648626254,1.8658076066844174
18,0.0185009,4.870324454722473,4.4017120816293716,3.963737299693698,3.555213045223622,3.174934945353932,2.9271059594308104,2.59458364222796,2.3705191066334033,2.155809943954464,1.8661878204099351
19,0.0195009,4.871418578069412,4.402654128088789,3.964539523163866,3.555891375535713,3.175504028017859,2.9276152224370753,2.595002554089655,2.370889432925514,2.1561332616697437,1.8664463657432873
20,0.020501000000000002,4.8721914908924795,4.403315372238189,3.9651055590133746,3.5563691243039064,3.175904011833076,2.9279717065414603,2.5952995042700975,2.3711484192866634,2.156362003454703,1.8666288683315357
21,0.021501000000000003,4.8727034201649,4.403754691981282,3.965480201446143,3.556686407836981,3.1761739196108243,2.928211359720879,2.5954983548373574,2.371322690482951,2.1565137648312627,1.8667505367237016
22,0.0225011,4.872909195656756,4.403931325692423,3.9656308728593217,3.5568140506376436,3.176281232341736,2.9283072209926466,2.595577895064262,2.371395303481404,2.156577548598223,1.8667999645080189
23,0.0235012,4.872833911940224,4.403867918719193,3.9655779342546915,3.556773934328864,3.176245461431432,2.928277264345219,2.5955540329961906,2.371373519581868,2.1565577536360627,1.8667866570276257
24,0.0245012,4.8723972663843345,4.403496535018846,3.9652603026269095,3.5565040609788925,3.176021080266798,2.928076554807456,2.595389649860589,2.371228293584962,2.156432385542383,1.8666859003903635
25,0.0255012,4.871810053395381,4.402993808302522,3.9648367937898668,3.5561466611370376,3.1757186534796826,2.9278099406453526,2.595166937225257,2.37103465892242,2.1562630286439033,1.8665509245178047
26,0.026501300000000002,4.8710973675455405,4.402382383917804,3.9643155521442757,3.5557053817404625,3.175351188673833,2.927480417523652,2.5948965004537827,2.370795036027525,2.156054081821104,1.866383630478577
27,0.0275013,4.869927960482069,4.401381459554672,3.9634644622698336,3.5549869351195915,3.174749587000539,2.926944193534703,2.5944510751831196,2.37040534626916,2.155713168583904,1.866109876596204
